host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782883804.435296,14:30:04.435,9192,130.048,0.38,34722.89,470530.049,-1542868.48,-704642.678,-822083.583,0.001,-4.352,-0.001,0.255,0.0,-23.04,98.65,-243.2,135.63,0,1,184,94.83
1782883804.435309,14:30:04.435,9193,140.378,-235.43,35903246.18,-822083.583,-285212.671,-301989.889,-1493172.225,9.865,-24.32,13.563,0.256,3.0,0.049,24.82,-300.44,0.01,214,1,0,-122.88
1782883804.542017,14:30:04.542,9196,94.867,24.82,1010.28,0.47,0.464,-0.013,-0.019,-30.298,0.038,-1.119,0.052,-18.431,2.827,455.68,-235.43,3.94,0,214,1,0.0
1782883804.542053,14:30:04.542,9197,95.331,0.0,42949672.83,0.0,2525.606,3472.289,369866.753,-19.968,-23.543,0.394,-10.752,0.001,-12.288,0.01,-33.28,-0.01,255,241,255,-0.01
1782883804.542065,14:30:04.542,9198,130.105,0.38,34722.89,504084.481,-1542868.48,-704642.678,-805306.367,0.001,-3.328,-0.001,-6.913,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,105.07
1782883804.542076,14:30:04.542,9199,140.435,-235.43,35903246.18,-788529.151,-167772.159,16777.215,-1509949.44,9.865,-24.32,13.563,0.256,3.0,0.052,24.82,-300.44,0.01,214,1,0,-120.32
1782883804.542406,14:30:04.542,9202,94.929,24.82,1010.28,0.47,0.465,-0.01,-0.015,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883804.542421,14:30:04.542,9203,95.394,0.0,42949672.85,-0.017,2525.606,3472.289,302757.889,-19.968,-23.543,0.394,-10.752,0.001,-12.032,0.01,-28.16,-0.01,255,200,255,-0.01
1782883804.542431,14:30:04.542,9204,130.167,0.38,34722.89,487307.265,-1542868.48,-704642.678,-771751.935,0.001,-2.048,-0.001,-3.073,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,99.95
1782883804.542440,14:30:04.542,9205,140.497,-235.43,35903246.18,-771751.935,-150994.943,-301989.889,-1493172.225,9.865,-24.32,13.563,0.256,3.0,0.049,24.82,-300.44,0.01,214,1,0,-120.32
